[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-255-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-255-1.js: data Expected SameValue(«"data"», «"overrideData"») to be true
[FAIL 1] built-ins/Object/getPrototypeOf/15.2.3.2-2-31.js | Exception in /tmp/repro_built-ins__Object__getPrototypeOf__15.2.3.2-2-31.js: Object.getPrototypeOf(Object.prototype) Expected SameValue(«[object Object]», «null») to be true
[FAIL 1] built-ins/Promise/all/resolve-ignores-late-rejection.js | Exception in /tmp/repro_built-ins__Promise__all__resolve-ignores-late-rejection.js: Expected SameValue(«[object Object]», «42») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-16.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/splice/create-ctor-non-object.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-ctor-non-object.js: null value Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/decodeURI/S15.1.3.1_A1.15_T3.js | Exception in /tmp/repro_built-ins__decodeURI__S15.1.3.1_A1.15_T3.js: #00F0-00F7 
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A6_T4.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A6_T4.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/map/create-species.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-species.js: Constructor invoked exactly once Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-177.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-177.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/S15.9.3.1_A5_T6.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.1_A5_T6.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/toJSON/name.js | Exception in /tmp/repro_built-ins__Date__prototype__toJSON__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/any/iter-arg-is-string-resolve.js | Exception in /tmp/repro_built-ins__Promise__any__iter-arg-is-string-resolve.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-b-22.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-b-22.js: testResult !== true
[FAIL 1] built-ins/Promise/prototype/then/rxn-handler-rejected-invoke-strict.js | Exception in /tmp/repro_built-ins__Promise__prototype__then__rxn-handler-rejected-invoke-strict.js: TypeError: is not a function
[FAIL 1] built-ins/Object/prototype/__defineGetter__/define-new.js | Exception in /tmp/repro_built-ins__Object__prototype____defineGetter____define-new.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/map/create-species-abrupt.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-species-abrupt.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/prototype/getTimezoneOffset/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__getTimezoneOffset__prop-desc.js: obj should have an own property getTimezoneOffset
[FAIL 1] built-ins/Array/prototype/reduceRight/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Date/prototype/getSeconds/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getSeconds__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Object/entries/tamper-with-global-object.js | Exception in /tmp/repro_built-ins__Object__entries__tamper-with-global-object.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-5.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-5.js: testResult !== true
[FAIL 1] built-ins/Function/15.3.5.4_2-71gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-71gs.js: TypeError: Cannot read properties of undefined (reading 'throwTypeError')
[FAIL 1] built-ins/Promise/any/resolve-non-callable.js | Exception in /tmp/repro_built-ins__Promise__any__resolve-non-callable.js: Expected true but got false
[FAIL 1] built-ins/Promise/any/iter-next-val-err-no-close.js | Exception in /tmp/repro_built-ins__Promise__any__iter-next-val-err-no-close.js: Expected SameValue(«[object Object]», «Test262Error: ») to be true
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-118.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-118.js: TypeError: Cannot read properties of undefined (reading 'value')
[FAIL 1] built-ins/Object/getOwnPropertySymbols/object-contains-symbol-property-without-description.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertySymbols__object-contains-symbol-property-without-description.js: Array of symbols returned by `Object.getOwnPropertySymbols(obj)` includes `sym` Expected SameValue(«undefined», «Symbol()») to be true
[FAIL 1] built-ins/eval/length-non-writable.js | Exception in /tmp/repro_built-ins__eval__length-non-writable.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Function/is-a-constructor.js | Exception in /tmp/repro_built-ins__Function__is-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-18.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-18.js: testResult !== true
[FAIL 1] built-ins/String/prototype/matchAll/cstm-matchall-on-boolean-primitive.js | Exception in /tmp/repro_built-ins__String__prototype__matchAll__cstm-matchall-on-boolean-primitive.js: TypeError: Cannot convert undefined or null to object
[FAIL 1] built-ins/Array/of/return-abrupt-from-contructor.js | Exception in /tmp/repro_built-ins__Array__of__return-abrupt-from-contructor.js: Array.of.call(T) throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/concat/S15.4.4.4_A3_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__S15.4.4.4_A3_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-6.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-6.js: testResult[1] Expected SameValue(«undefined», «false») to be true
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A4_T3.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A4_T3.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/slice/create-species-neg-zero.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-species-neg-zero.js: Expected SameValue(«undefined», «1») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-15.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-15.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/includes/coerced-searchelement-fromindex-resize.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__coerced-searchelement-fromindex-resize.js: Expected true but got false
[FAIL 1] built-ins/Promise/race/invoke-resolve-on-promises-every-iteration-of-custom.js | Exception in /tmp/repro_built-ins__Promise__race__invoke-resolve-on-promises-every-iteration-of-custom.js: `Custom.resolve` invoked once for every item in iterable arg Expected SameValue(«0», «3») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__resizable-buffer.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/any/reject-ignored-immed.js | Exception in /tmp/repro_built-ins__Promise__any__reject-ignored-immed.js: TypeError: is not a function
[FAIL 1] built-ins/Object/prototype/__lookupGetter__/name.js | Exception in /tmp/repro_built-ins__Object__prototype____lookupGetter____name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Date/prototype/getFullYear/this-value-invalid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getFullYear__this-value-invalid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/concat/create-species-abrupt.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species-abrupt.js: a.concat() throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/proto-from-ctor-realm-one.js | Exception in /tmp/repro_built-ins__Date__proto-from-ctor-realm-one.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-125.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-125.js: TypeError: Cannot read properties of undefined (reading 'value')
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-149.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-149.js: TypeError: Cannot read properties of undefined (reading 'value')
[FAIL 1] built-ins/Promise/prototype/finally/is-a-method.js | Exception in /tmp/repro_built-ins__Promise__prototype__finally__is-a-method.js: Expected the `finally` method on a Promise to be `Promise.prototype.finally` Expected SameValue(«function finally() { [native code] }», «function finally() { [native code] }») to be true
[FAIL 1] built-ins/Date/value-symbol-to-prim-return-prim.js | Exception in /tmp/repro_built-ins__Date__value-symbol-to-prim-return-prim.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/allSettled/iter-returns-undefined-reject.js | Exception in /tmp/repro_built-ins__Promise__allSettled__iter-returns-undefined-reject.js: TypeError: is not a function
[FAIL 1] built-ins/Function/15.3.5-1gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5-1gs.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/prototype/finally/subclass-resolve-count.js | Exception in /tmp/repro_built-ins__Promise__prototype__finally__subclass-resolve-count.js: Expected SameValue(«0», «7») to be true
[FAIL 1] built-ins/Promise/allKeyed/length.js | Exception in /tmp/repro_built-ins__Promise__allKeyed__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Function/15.3.5.4_2-78gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-78gs.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/toLocaleTimeString/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__toLocaleTimeString__prop-desc.js: obj should have an own property toLocaleTimeString
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-578.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-578.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/getDate/not-a-constructor.js | Exception in /tmp/repro_built-ins__Date__prototype__getDate__not-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Date/prototype/setHours/arg-ms-to-number.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__arg-ms-to-number.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-c-i-16.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-c-i-16.js: testResult !== true
[FAIL 1] built-ins/Date/prototype/setSeconds/this-value-valid-date-ms.js | Exception in /tmp/repro_built-ins__Date__prototype__setSeconds__this-value-valid-date-ms.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/slice/length-exceeding-integer-limit-proxied-array.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__length-exceeding-integer-limit-proxied-array.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/apply/S15.3.4.3_A7_T10.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__S15.3.4.3_A7_T10.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/prototype/then/rxn-handler-thrower.js | Exception in /tmp/repro_built-ins__Promise__prototype__then__rxn-handler-thrower.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/setUTCHours/length.js | Exception in /tmp/repro_built-ins__Date__prototype__setUTCHours__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Function/S15.3_A3_T4.js | Exception in /tmp/repro_built-ins__Function__S15.3_A3_T4.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/toString/negative-year.js | Exception in /tmp/repro_built-ins__Date__prototype__toString__negative-year.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/toString/S15.3.4.2_A11.js | Exception in /tmp/repro_built-ins__Function__prototype__toString__S15.3.4.2_A11.js: Function.prototype.toString.hasOwnProperty("length") must return true
[FAIL 1] built-ins/Object/prototype/toLocaleString/name.js | Exception in /tmp/repro_built-ins__Object__prototype__toLocaleString__name.js: obj should have an own property name
[FAIL 1] built-ins/String/prototype/split/separator-tostring-error.js | Exception in /tmp/repro_built-ins__String__prototype__split__separator-tostring-error.js: ToString should be called on the separator before checking if the limit is zero. Expected a ExpectedError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/allSettled/ctx-ctor-throws.js | Exception in /tmp/repro_built-ins__Promise__allSettled__ctx-ctor-throws.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/getOwnPropertyNames/proxy-invariant-duplicate-symbol-entry.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyNames__proxy-invariant-duplicate-symbol-entry.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/prototype/__lookupGetter__/this-non-obj.js | Exception in /tmp/repro_built-ins__Object__prototype____lookupGetter____this-non-obj.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Promise/any/resolve-before-loop-exit-from-same.js | Exception in /tmp/repro_built-ins__Promise__any__resolve-before-loop-exit-from-same.js: TypeError: is not a function
[FAIL 1] built-ins/SuppressedError/order-of-args-evaluation.js | Exception in /tmp/repro_built-ins__SuppressedError__order-of-args-evaluation.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/fromEntries/iterator-not-closed-for-uncallable-next.js | Exception in /tmp/repro_built-ins__Object__fromEntries__iterator-not-closed-for-uncallable-next.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/String/prototype/indexOf/searchstring-tostring-toprimitive.js | Exception in /tmp/repro_built-ins__String__prototype__indexOf__searchstring-tostring-toprimitive.js: Error
[FAIL 1] built-ins/String/prototype/matchAll/regexp-is-undefined-or-null-invokes-matchAll.js | Exception in /tmp/repro_built-ins__String__prototype__matchAll__regexp-is-undefined-or-null-invokes-matchAll.js: Expected SameValue(«undefined», «[object Object]») to be true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/name.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/prototype/then/rxn-handler-fulfilled-return-normal.js | Exception in /tmp/repro_built-ins__Promise__prototype__then__rxn-handler-fulfilled-return-normal.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/Symbol.toPrimitive/name.js | Exception in /tmp/repro_built-ins__Date__prototype__Symbol.toPrimitive__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/allSettled/invoke-resolve-get-once-no-calls.js | Exception in /tmp/repro_built-ins__Promise__allSettled__invoke-resolve-get-once-no-calls.js: Got `resolve` only once for each iterated value Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Date/prototype/valueOf/length.js | Exception in /tmp/repro_built-ins__Date__prototype__valueOf__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Date/prototype/valueOf/not-a-constructor.js | Exception in /tmp/repro_built-ins__Date__prototype__valueOf__not-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Object/preventExtensions/symbol-object-contains-symbol-properties-strict.js | Exception in /tmp/repro_built-ins__Object__preventExtensions__symbol-object-contains-symbol-properties-strict.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/reject-ignored-via-fn-immed.js | Exception in /tmp/repro_built-ins__Promise__reject-ignored-via-fn-immed.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/all/resolve-thenable.js | Exception in /tmp/repro_built-ins__Promise__all__resolve-thenable.js: TypeError: is not a function
[FAIL 1] built-ins/Object/prototype/__lookupGetter__/lookup-own-acsr-wo-getter.js | Exception in /tmp/repro_built-ins__Object__prototype____lookupGetter____lookup-own-acsr-wo-getter.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/all/S25.4.4.1_A3.1_T1.js | Exception in /tmp/repro_built-ins__Promise__all__S25.4.4.1_A3.1_T1.js: Promise unexpectedly resolved: Promise.all(nonIterable) should throw TypeError
[FAIL 1] built-ins/Date/prototype/setMonth/date-value-read-before-tonumber-when-date-is-invalid.js | Exception in /tmp/repro_built-ins__Date__prototype__setMonth__date-value-read-before-tonumber-when-date-is-invalid.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/prototype/S15.2.3.1_A1.js | Exception in /tmp/repro_built-ins__Object__prototype__S15.2.3.1_A1.js: #2: the Object.prototype property has the attributes ReadOnly
[FAIL 1] built-ins/String/raw/template-substitutions-are-appended-on-same-index.js | Exception in /tmp/repro_built-ins__String__raw__template-substitutions-are-appended-on-same-index.js: Expected SameValue(«"24"», «"12345"») to be true
[FAIL 1] built-ins/Date/prototype/setSeconds/date-value-read-before-tonumber-when-date-is-invalid.js | Exception in /tmp/repro_built-ins__Date__prototype__setSeconds__date-value-read-before-tonumber-when-date-is-invalid.js: TypeError: function is not a constructor
[FAIL 1] built-ins/SuppressedError/newtarget-is-undefined.js | Exception in /tmp/repro_built-ins__SuppressedError__newtarget-is-undefined.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/S15.9.5_A32_T1.js | Exception in /tmp/repro_built-ins__Date__prototype__S15.9.5_A32_T1.js: TypeError: is not a function
[FAIL 1] built-ins/encodeURIComponent/S15.1.3.4_A2.1_T1.js | Exception in /tmp/repro_built-ins__encodeURIComponent__S15.1.3.4_A2.1_T1.js: #0000 
[FAIL 1] built-ins/Promise/all/iter-next-val-err-reject.js | Exception in /tmp/repro_built-ins__Promise__all__iter-next-val-err-reject.js: TypeError: is not a function
[FAIL 1] built-ins/Function/15.3.5.4_2-26gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-26gs.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/prototype/toISOString/15.9.5.43-0-13.js | Exception in /tmp/repro_built-ins__Date__prototype__toISOString__15.9.5.43-0-13.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-127.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-127.js: arr.length Expected SameValue(«-0», «0») to be true
[FAIL 1] built-ins/Date/prototype/toLocaleDateString/name.js | Exception in /tmp/repro_built-ins__Date__prototype__toLocaleDateString__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-260.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-260.js: obj['0'] value should be 100
[FAIL 1] built-ins/Array/prototype/flat/target-array-with-non-configurable-property.js | Exception in /tmp/repro_built-ins__Array__prototype__flat__target-array-with-non-configurable-property.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/prototype/propertyIsEnumerable/symbol_property_valueOf.js | Exception in /tmp/repro_built-ins__Object__prototype__propertyIsEnumerable__symbol_property_valueOf.js: TypeError: Cannot convert object to primitive value
[FAIL 1] built-ins/Date/prototype/setUTCMonth/date-value-read-before-tonumber-when-date-is-invalid.js | Exception in /tmp/repro_built-ins__Date__prototype__setUTCMonth__date-value-read-before-tonumber-when-date-is-invalid.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/fill/return-abrupt-from-start.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__return-abrupt-from-start.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/race/same-reject-function.js | Exception in /tmp/repro_built-ins__Promise__race__same-reject-function.js: p1.then call count Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Function/S15.3.2.1_A2_T1.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A2_T1.js: #1: test failed
[FAIL 1] built-ins/Date/prototype/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__prop-desc.js: obj['prototype'] descriptor should not be enumerable; obj['prototype'] descriptor should not be writable; obj['prototype'] descriptor should not be configurable
[FAIL 1] built-ins/Promise/try/ctx-ctor-throws.js | Exception in /tmp/repro_built-ins__Promise__try__ctx-ctor-throws.js: Expected a Test262Error but got a TypeError
[FAIL 1] built-ins/Promise/any/iter-arg-is-poisoned.js | Exception in /tmp/repro_built-ins__Promise__any__iter-arg-is-poisoned.js: TypeError: is not a function
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-176.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-176.js: Expected true but got false
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-212.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-212.js: obj['0'] descriptor should not be writable
[FAIL 1] built-ins/Date/prototype/setUTCMonth/arg-coercion-order.js | Exception in /tmp/repro_built-ins__Date__prototype__setUTCMonth__arg-coercion-order.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-215.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-215.js: TypeError: Cannot read properties of undefined (reading 'hasOwnProperty')
[FAIL 1] built-ins/Function/prototype/apply/S15.3.4.3_A7_T4.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__S15.3.4.3_A7_T4.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/prototype/then/ctor-throws.js | Exception in /tmp/repro_built-ins__Promise__prototype__then__ctor-throws.js: TypeError: Property description must be an object
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-189.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-189.js: arr[0] Expected SameValue(«11», «12») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-411.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-411.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/allSettled/reject-deferred.js | Exception in /tmp/repro_built-ins__Promise__allSettled__reject-deferred.js: Expected SameValue(«"fulfilled"», «"rejected"») to be true
[FAIL 1] built-ins/decodeURIComponent/S15.1.3.2_A1.14_T2.js | Exception in /tmp/repro_built-ins__decodeURIComponent__S15.1.3.2_A1.14_T2.js: #00E0-00EF 
[FAIL 1] built-ins/Object/create/15.2.3.5-4-7.js | Exception in /tmp/repro_built-ins__Object__create__15.2.3.5-4-7.js: TypeError: Property description must be an object
[FAIL 1] built-ins/Array/prototype/sort/S15.4.4.11_A6_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__S15.4.4.11_A6_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/map/create-proto-from-ctor-realm-non-array.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-proto-from-ctor-realm-non-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Object/getOwnPropertySymbols/proxy-invariant-absent-not-configurable-string-key.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertySymbols__proxy-invariant-absent-not-configurable-string-key.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/S15.9.3.1_A6_T1.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.1_A6_T1.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/splice/create-ctor-poisoned.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-ctor-poisoned.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/prototype/finally/invokes-then-with-non-function.js | Exception in /tmp/repro_built-ins__Promise__prototype__finally__invokes-then-with-non-function.js: Invokes `then` method exactly once Expected SameValue(«0», «1») to be true
